Date	Valeur
1960-01-01	160.1
1960-04-01	129.7
1960-07-01	84.8
1960-10-01	120.1
1961-01-01	160.1
1961-04-01	124.9
1961-07-01	84.8
1961-10-01	116.9
1962-01-01	169.7
1962-04-01	140.9
1962-07-01	89.7
1962-10-01	123.3
1963-01-01	187.3
1963-04-01	144.1
1963-07-01	92.9
1963-10-01	120.1
1964-01-01	176.1
1964-04-01	147.3
1964-07-01	89.7
1964-10-01	123.3
1965-01-01	185.7
1965-04-01	155.3
1965-07-01	99.3
1965-10-01	131.3
1966-01-01	200.1
1966-04-01	161.7
1966-07-01	102.5
1966-10-01	136.1
1967-01-01	204.9
1967-04-01	176.1
1967-07-01	112.1
1967-10-01	140.9
1968-01-01	227.3
1968-04-01	195.3
1968-07-01	115.3
1968-10-01	142.5
1969-01-01	244.9
1969-04-01	214.5
1969-07-01	118.5
1969-10-01	153.7
1970-01-01	244.9
1970-04-01	216.1
1970-07-01	188.9
1970-10-01	142.5
1971-01-01	301
1971-04-01	196.9
1971-07-01	136.1
1971-10-01	267.3
1972-01-01	317
1972-04-01	230.5
1972-07-01	152.1
1972-10-01	336.2
1973-01-01	371.4
1973-04-01	240.1
1973-07-01	158.5
1973-10-01	355.4
1974-01-01	449.9
1974-04-01	286.6
1974-07-01	179.3
1974-10-01	403.4
1975-01-01	491.5
1975-04-01	321.8
1975-07-01	177.7
1975-10-01	409.8
1976-01-01	593.9
1976-04-01	329.8
1976-07-01	176.1
1976-10-01	483.5
1977-01-01	584.3
1977-04-01	395.4
1977-07-01	187.3
1977-10-01	485.1
1978-01-01	669.2
1978-04-01	421
1978-07-01	216.1
1978-10-01	509.1
1979-01-01	827.7
1979-04-01	467.5
1979-07-01	209.7
1979-10-01	542.7
1980-01-01	840.5
1980-04-01	414.6
1980-07-01	217.7
1980-10-01	670.8
1981-01-01	848.5
1981-04-01	437
1981-07-01	209.7
1981-10-01	701.2
1982-01-01	925.3
1982-04-01	443.4
1982-07-01	214.5
1982-10-01	683.6
1983-01-01	917.3
1983-04-01	515.5
1983-07-01	224.1
1983-10-01	694.8
1984-01-01	989.4
1984-04-01	477.1
1984-07-01	233.7
1984-10-01	730
1985-01-01	1087
1985-04-01	534.7
1985-07-01	281.8
1985-10-01	787.6
1986-01-01	1163.9
1986-04-01	613.1
1986-07-01	347.4
1986-10-01	782.8
